data_id,state_id,indicator_id,categories_id,nfhs_id,ST,Non-ST,Total
305,12,77,9,2,25.1,20.3,23.9
306,12,78,9,2,30.2,21.3,27.7
307,12,79,9,2,45.2,49.8,46.4
308,12,80,9,2,69.7,66.9,69
309,12,81,9,2,16.5,47.4,22.5
310,12,82,9,2,36.3,52.4,40.3
311,12,83,10,2,6.1,6.5,6.2
312,12,84,10,2,11.7,12.6,11.9
313,12,85,11,2,19,18.6,18.9
314,12,86,11,2,26.7,23.8,25.9
315,12,87,12,2,17.9,22,18.8
316,12,88,12,2,48.4,56.3,50.3
317,12,89,12,2,25.7,19.3,24.2
318,12,90,12,2,52.9,51.8,52.6
319,12,91,13,2,74.9,90.6,78.6
320,12,92,13,2,600,200,500
321,12,93,13,2,83.7,87.2,84.6
322,12,94,13,2,90,92.8,90.7
323,12,95,14,2,24,22.1,23.5
324,12,96,14,2,73.3,62.2,70.2
325,12,97,14,2,81,71.1,78.2
326,12,98,14,2,79.2,69.2,76.4
327,12,99,15,2,25.2,26,25.4
328,12,100,15,2,18.5,20.8,19.1
329,12,101,15,2,2.4,3,2.6
330,12,102,15,2,0,0.8,0.6
331,12,103,16,2,90.2,93.8,91.2
332,12,104,16,2,96.7,98,97.1
333,12,105,16,2,89.1,92,89.9
334,12,106,16,2,96.5,97.9,96.9
335,12,107,16,2,13.7,8.8,12.3
336,12,108,16,2,34.6,26.2,32.3
337,12,109,17,2,7.8,16.1,10
338,12,110,17,2,41.6,55.2,45.2
339,12,111,17,2,3.1,2.4,2.9
340,12,112,17,2,3.8,3.6,3.8
341,12,113,17,2,7.8,7,7.6
342,12,114,17,2,12.7,8.9,11.7
343,18,1,1,2,1018,1011,1012
344,18,2,1,2,922,977,970
345,18,3,1,2,86.7,86.3,86.3
346,18,4,1,2,77.6,78.3,78.2
347,18,5,1,2,32.6,29.1,29.6
348,18,6,1,2,25.6,32.6,31.8
349,18,7,1,2,12.9,14.5,14.3
350,18,8,1,2,56.3,48.8,49.7
351,18,9,1,2,51.3,33.5,35.8
352,18,10,1,2,94.9,92.4,92.7
353,18,11,1,2,79.1,87.4,86.4
354,18,12,1,2,80.7,78.8,79.1
355,18,13,1,2,6.4,3.9,4.2
356,18,14,1,2,37.1,42.9,42.1
357,18,15,1,2,26.9,32.2,31.6
358,18,16,1,2,53.7,55,54.8
359,18,17,1,2,68,66.5,66.7
360,18,18,1,2,0.5,0.8,0.8
361,18,19,2,2,44,42.6,42.8
362,18,20,2,2,92.5,91.9,91.9
363,18,21,2,2,42.1,42.1,42.1
364,18,22,2,2,30.2,27.9,28.2
365,18,23,3,2,75.6,65.8,67
366,18,24,3,2,63.2,60.5,60.8
367,18,25,3,2,11,8.7,9
368,18,26,3,2,0.1,0.1,0.1
369,18,27,3,2,59.7,47.4,48.9
370,18,28,3,2,10.2,11.1,11
371,18,29,3,2,3.9,4.2,4.1
372,18,30,4,2,9.2,12,11.7
373,18,31,4,2,65.9,63.6,63.8
374,18,32,4,2,59.9,49.5,50.7
375,18,33,4,2,48.2,47.4,47.5
376,18,34,4,2,29.1,26.6,26.9
377,18,35,4,2,99,98.7,98.7
378,18,36,4,2,60,58,58.2
379,18,37,4,2,54.8,50.1,50.6
380,18,38,4,2,72.7,66.1,66.8
381,18,39,5,2,89.8,83.4,84.1
382,18,40,5,2,81.9,73.5,74.4
383,18,41,5,2,20.9,17.8,18.1
384,18,42,5,2,29.4,15.5,16.5
385,18,43,5,2,19,14.7,15.2
386,18,44,5,2,53.3,45.1,46.1
387,18,45,5,2,8706,8904,8879
388,18,46,6,2,72.7,69.3,69.6
389,18,47,6,2,0,0,0
390,18,48,7,2,96.7,96.2,96.3
391,18,49,7,2,38.2,42.3,41.9
392,18,50,7,2,46.7,52.9,52.2
393,18,51,7,2,26.1,28.5,28.3
394,18,52,7,2,4.9,5.5,5.5
395,18,53,7,2,59.2,72.7,71.4
396,18,54,7,2,62.1,69.8,69.1
397,18,55,7,2,22.1,28.6,28
398,18,56,7,2,17.5,24.1,23.5
399,18,57,7,2,2.2,2.5,2.5
400,18,58,7,2,44.4,57.7,56.5
401,18,59,8,2,11.2,16.8,16.1
402,18,60,8,2,52.7,48.6,49.1
403,18,61,8,2,67.7,63.3,63.7
404,18,62,8,2,9.9,7.7,7.9
405,18,63,8,2,31,35.8,35.3
406,18,64,8,2,19.1,22.1,21.7
